Filling Mass,Type
2.68,Regular
2.82,Regular
2.88,Regular
2.91,Regular
2.96,Regular
2.98,Regular
2.98,Regular
3.02,Regular
3.08,Regular
3.12,Regular
3.12,Regular
3.14,Regular
3.17,Regular
3.18,Regular
3.19,Regular
3.19,Regular
3.21,Regular
3.25,Regular
3.27,Regular
3.28,Regular
3.34,Regular
3.38,Regular
3.4,Regular
3.4,Regular
3.42,Regular
3.42,Regular
3.42,Regular
3.48,Regular
3.48,Regular
3.51,Regular
3.54,Regular
3.6,Regular
3.63,Regular
3.66,Regular
3.86,Regular
3.86,Regular
5.06,Double
5.12,Double
5.18,Double
5.19,Double
5.3,Double
5.37,Double
5.4,Double
5.4,Double
5.44,Double
5.47,Double
5.47,Double
5.57,Double
5.63,Double
5.66,Double
5.66,Double
5.69,Double
5.73,Double
5.74,Double
5.79,Double
5.81,Double
5.87,Double
5.87,Double
5.9,Double
6.06,Double
6.53,Double
6.62,Double
6.67,Double
6.8,Double
6.87,Double
6.89,Double
